timestamp,temperatura_predicha,segundos_desde_inicio,minutos_desde_inicio,horas_desde_inicio
2025-10-18 19:12:40,13.711050343567333,1,0.016666666666666666,0.0002777777777777778
2025-10-18 19:12:41,13.644449828771087,2,0.03333333333333333,0.0005555555555555556
2025-10-18 19:12:42,13.51370312925328,3,0.05,0.0008333333333333334
2025-10-18 19:12:43,13.37254099733987,4,0.06666666666666667,0.0011111111111111111
2025-10-18 19:12:44,13.233587529855752,5,0.08333333333333333,0.001388888888888889
2025-10-18 19:12:45,13.10148059640935,6,0.1,0.0016666666666666668
2025-10-18 19:12:46,12.977888210899764,7,0.11666666666666667,0.0019444444444444444
2025-10-18 19:12:47,12.862729880606054,8,0.13333333333333333,0.0022222222222222222
2025-10-18 19:12:48,12.75598117854644,9,0.15,0.0025
2025-10-18 19:12:49,12.656748077187556,10,0.16666666666666666,0.002777777777777778
2025-10-18 19:12:50,12.564284274076359,11,0.18333333333333332,0.0030555555555555557
2025-10-18 19:12:51,12.477845327863182,12,0.2,0.0033333333333333335
2025-10-18 19:12:52,12.396682609715771,13,0.21666666666666667,0.003611111111111111
2025-10-18 19:12:53,12.320492294508288,14,0.23333333333333334,0.0038888888888888888
2025-10-18 19:12:54,12.249037556836372,15,0.25,0.004166666666666667
2025-10-18 19:12:55,12.181974092575803,16,0.26666666666666666,0.0044444444444444444
2025-10-18 19:12:56,12.119547102096128,17,0.2833333333333333,0.004722222222222222
2025-10-18 19:12:57,12.061470440753567,18,0.3,0.005
2025-10-18 19:12:58,12.007761789030175,19,0.31666666666666665,0.005277777777777778
2025-10-18 19:12:59,11.958281098897046,20,0.3333333333333333,0.005555555555555556
2025-10-18 19:13:00,11.912122013010961,21,0.35,0.005833333333333334
2025-10-18 19:13:01,11.869132851446928,22,0.36666666666666664,0.006111111111111111
2025-10-18 19:13:02,11.82685137444092,23,0.38333333333333336,0.006388888888888889
2025-10-18 19:13:03,11.788234409978646,24,0.4,0.006666666666666667
2025-10-18 19:13:04,11.7199230759057,25,0.4166666666666667,0.006944444444444444
2025-10-18 19:13:05,11.71407455855238,26,0.43333333333333335,0.007222222222222222
2025-10-18 19:13:06,11.708377255848212,27,0.45,0.0075
2025-10-18 19:13:07,11.70303681971604,28,0.4666666666666667,0.0077777777777777776
2025-10-18 19:13:08,11.698121645704866,29,0.48333333333333334,0.008055555555555555
2025-10-18 19:13:09,11.693648018469212,30,0.5,0.008333333333333333
2025-10-18 19:13:10,11.689608958871428,31,0.5166666666666667,0.008611111111111111
2025-10-18 19:13:11,11.685985390601925,32,0.5333333333333333,0.008888888888888889
2025-10-18 19:13:12,11.682748466558404,33,0.55,0.009166666666666667
2025-10-18 19:13:13,11.679870270190257,34,0.5666666666666667,0.009444444444444445
2025-10-18 19:13:14,11.677322419671022,35,0.5833333333333334,0.009722222222222222
2025-10-18 19:13:15,11.675073741519185,36,0.6,0.01
2025-10-18 19:13:16,11.673096319184133,37,0.6166666666666667,0.010277777777777778
